text,language,category
"Dear customer, your KYC has expired. Update immediately at bit.ly/kyc-update123 or account will be blocked in 24 hours.",english,kyc_scam
URGENT: Your bank account will be suspended today. Click here to complete KYC verification: kyc-verify.net/update,english,kyc_scam
Your Aadhaar-linked KYC is pending. Complete now to avoid deactivation: click http://kyc-bank-portal.com,english,kyc_scam
Alert: Incomplete KYC detected on your account. Verify within 2 hours or lose access. Link: verify-now.co/kyc,english,kyc_scam
Bank Notice: KYC document mismatch found. Re-upload PAN and Aadhaar at this link to keep your account active.,english,kyc_scam
Your SBI account KYC is not updated. Failure to update in 6 hrs will lead to account freeze. Update: sbi-kyc-online.in,english,kyc_scam
"Congratulations, your KYC is 90% complete. Enter your card number and OTP to finish verification and unlock full access.",english,kyc_scam
RBI mandate: All bank accounts must complete e-KYC by tomorrow. Tap the link and enter your debit card PIN to confirm.,english,kyc_scam
Your mobile banking will stop working from tomorrow due to pending KYC. Call this number and share your OTP to fix it now.,english,kyc_scam
Final Reminder: KYC not updated. Your account number ending 4521 will be permanently blocked unless verified today.,english,kyc_scam
"This is Rakesh from your bank's KYC department. Sir your video KYC failed, please share the OTP sent to your phone to redo it.",english,kyc_scam
IMPORTANT: Your PAN card is not linked to your bank KYC. Link now within 12 hours: pan-kyc-link.com/verify,english,kyc_scam
"Sir/Madam, our records show your KYC as invalid. Kindly download AnyDesk app and let our executive assist you with re-verification.",english,kyc_scam
Your bank account is under review due to expired KYC. Send a scanned copy of your Aadhaar and OTP to this WhatsApp number to resolve.,english,kyc_scam
Notice from Bank Compliance Team: KYC re-verification pending since 3 months. Non-compliance may lead to account closure per RBI rules.,english,kyc_scam
"Dear valued customer, we noticed your e-KYC is outdated. Complete biometric verification today at the link to avoid service disruption.",english,kyc_scam
Your account KYC status: FAILED. Please call our helpline immediately and provide your debit card details to reactivate.,english,kyc_scam
Kotak/HDFC/ICICI Alert: Your KYC form submitted has errors. Click to resubmit with your net banking password for quick approval.,english,kyc_scam
We tried to update your KYC but your OTP verification failed twice. One more attempt and account gets locked — verify here now.,english,kyc_scam
Government of India KYC Compliance: All account holders must re-verify by month end. Non-verified accounts will be frozen as per new policy.,english,kyc_scam
Your Post Office savings account KYC needs urgent update. Share your account number and registered mobile OTP to our agent to proceed.,english,kyc_scam
eKYC pending: Complete your video call verification today between 10am-6pm by clicking the appointment link and sharing your card CVV.,english,kyc_scam
Your bank has flagged your account for KYC non-compliance. A fine of Rs 500/day applies from tomorrow unless resolved via this portal.,english,kyc_scam
"Dear customer, due to a system update, all customers must re-enter KYC details including ATM PIN at our secure portal within 24 hrs.",english,kyc_scam
This is a reminder that your KYC document (uploaded 2019) has expired as per new RBI norms. Renew today to avoid account suspension.,english,kyc_scam
Your linked mobile number needs KYC re-verification for UPI services. Click the link and confirm your UPI PIN to continue using GPay/PhonePe.,english,kyc_scam
"Bank Security Alert: unusual login detected. To secure your account, complete KYC re-authentication by sharing the OTP you just received.",english,kyc_scam
"आपका डेबिट कार्ड will be blocked without KYC update. Please visit the link and enter your card number, expiry and CVV to avoid blockage.",english,kyc_scam
"Dear Sir, your Jan Dhan account KYC is incomplete. Government subsidy will stop unless updated. Reply with your Aadhaar number now.",english,kyc_scam
Your bank locker KYC also needs renewal along with account KYC. Complete both together at this link using your net banking login.,english,kyc_scam
"प्रिय ग्राहक, आपका केवाईसी समाप्त हो गया है। तुरंत अपडेट करें अन्यथा 24 घंटे में खाता ब्लॉक हो जाएगा।",hindi,kyc_scam
जरूरी सूचना: आपका बैंक खाता आज बंद हो जाएगा। केवाईसी पूरा करने के लिए इस लिंक पर क्लिक करें।,hindi,kyc_scam
आपका आधार से जुड़ा केवाईसी लंबित है। खाता निष्क्रिय होने से बचने के लिए अभी पूरा करें।,hindi,kyc_scam
चेतावनी: आपके खाते में अधूरा केवाईसी पाया गया। 2 घंटे में सत्यापित करें अन्यथा पहुंच खो देंगे।,hindi,kyc_scam
बैंक सूचना: केवाईसी दस्तावेज़ मेल नहीं खाते। खाता सक्रिय रखने के लिए पैन और आधार फिर से अपलोड करें।,hindi,kyc_scam
आपके खाते का केवाईसी अपडेट नहीं है। 6 घंटे में अपडेट न करने पर खाता फ्रीज हो जाएगा।,hindi,kyc_scam
आपका केवाईसी 90% पूरा है। सत्यापन पूरा करने के लिए अपना कार्ड नंबर और ओटीपी दर्ज करें।,hindi,kyc_scam
आरबीआई निर्देश: सभी बैंक खातों का ई-केवाईसी कल तक पूरा होना चाहिए। लिंक पर टैप करें और अपना डेबिट कार्ड पिन दर्ज करें।,hindi,kyc_scam
केवाईसी लंबित होने के कारण कल से मोबाइल बैंकिंग बंद हो जाएगी। इस नंबर पर कॉल करें और ओटीपी साझा करें।,hindi,kyc_scam
अंतिम चेतावनी: केवाईसी अपडेट नहीं हुआ। आज सत्यापित न करने पर आपका खाता स्थायी रूप से ब्लॉक हो जाएगा।,hindi,kyc_scam
"मैं आपके बैंक के केवाईसी विभाग से राकेश बोल रहा हूं। सर आपका वीडियो केवाईसी फेल हो गया, कृपया फोन पर आया ओटीपी बताएं।",hindi,kyc_scam
महत्वपूर्ण: आपका पैन कार्ड बैंक केवाईसी से लिंक नहीं है। 12 घंटे के अंदर लिंक करें: pan-kyc-link.com,hindi,kyc_scam
"श्रीमान/श्रीमती, हमारे रिकॉर्ड में आपका केवाईसी अमान्य दिख रहा है। कृपया AnyDesk ऐप डाउनलोड करें, हमारा एजेंट मदद करेगा।",hindi,kyc_scam
एक्सपायर्ड केवाईसी के कारण आपका खाता समीक्षा में है। आधार की स्कैन कॉपी और ओटीपी इस व्हाट्सएप नंबर पर भेजें।,hindi,kyc_scam
बैंक अनुपालन टीम की सूचना: केवाईसी पुनर्सत्यापन 3 महीने से लंबित है। आरबीआई नियमों के अनुसार खाता बंद हो सकता है।,hindi,kyc_scam
"प्रिय ग्राहक, आपका ई-केवाईसी पुराना हो गया है। सेवा बाधित होने से बचने के लिए आज ही बायोमेट्रिक सत्यापन पूरा करें।",hindi,kyc_scam
