text,language,category,source
Claim your loan approved by sending OTP immediately.,english,loan_scam,kaggle_financial_scams_filtered
"Fraudulent transaction detected, provide your OTP.",english,phishing,kaggle_financial_scams_filtered
"Your account has been suspended, verify OTP now!",english,phishing,kaggle_financial_scams_filtered
Your account balance is adequate.,english,not_scam,kaggle_financial_scams_filtered
Please ignore unknown SMS.,english,not_scam,kaggle_financial_scams_filtered
Click here to reset your banking password.,english,phishing,kaggle_financial_scams_filtered
Payment received successfully.,english,not_scam,kaggle_financial_scams_filtered
Send your OTP to claim your prize!,english,lottery_scam,kaggle_financial_scams_filtered
Your debit card has been blocked.,english,phishing,kaggle_financial_scams_filtered
"New offers available, accept today!",english,not_scam,kaggle_financial_scams_filtered
"Your account is at risk, immediate action required.",english,phishing,kaggle_financial_scams_filtered
"Your mobile recharge was successful, thank you.",english,not_scam,kaggle_financial_scams_filtered
"Your loan application is approved, send OTP now!",english,loan_scam,kaggle_financial_scams_filtered
Do not share your bank details with anyone.,english,not_scam,kaggle_financial_scams_filtered
Account hacked! Open the app now to secure it.,english,phishing,kaggle_financial_scams_filtered
"Your OTP code expires in 5 minutes, do not share",english,not_scam,kaggle_financial_scams_filtered
"Loan approved, confirm by sending OTP code.",english,loan_scam,kaggle_financial_scams_filtered
Update your account details to avoid suspension.,english,phishing,kaggle_financial_scams_filtered
Thank you for using our service.,english,not_scam,kaggle_financial_scams_filtered
Claim your loan approved by sending OTP.,english,loan_scam,kaggle_financial_scams_filtered
"Fraudulent transaction detected, provide OTP.",english,phishing,kaggle_financial_scams_filtered
"Your OTP is 8741, do not share it with anyone.",english,not_scam,kaggle_financial_scams_filtered
Click here to reset your banking password.,english,phishing,kaggle_financial_scams_filtered
"Your account suspended, verify OTP now!",english,phishing,kaggle_financial_scams_filtered
Congratulations! You won a prize. Please send OTP to claim.,english,lottery_scam,kaggle_financial_scams_filtered
"Your OTP is 789654, keep it confidential to secure your account.",english,not_scam,kaggle_financial_scams_filtered
Claim your cashback by entering OTP received in next 5 minutes.,english,lottery_scam,kaggle_financial_scams_filtered
Important: Your account verification is pending. Please provide OTP.,english,phishing,kaggle_financial_scams_filtered
Your debit card transaction of 5000 taka was declined. Contact support.,english,phishing,kaggle_financial_scams_filtered
Congratulations! Claim your reward by submitting OTP within 10 minutes.,english,phishing,kaggle_financial_scams_filtered
"Your recent login was from a new device. If not you, verify with OTP.",english,phishing,kaggle_financial_scams_filtered
Update your payment information immediately to avoid suspension.,english,phishing,kaggle_financial_scams_filtered
Your mobile recharge of 20 taka is successful. Thank you for your payment.,english,not_scam,kaggle_financial_scams_filtered
Refund of 100 taka has been processed to your account.,english,not_scam,kaggle_financial_scams_filtered
"Warning: Suspicious activity detected, confirm via OTP now.",english,phishing,kaggle_financial_scams_filtered
Your loan application was approved. Verify details using OTP.,english,loan_scam,kaggle_financial_scams_filtered
Please ignore any unknown messages pretending to be your bank.,english,not_scam,kaggle_financial_scams_filtered
Your online banking password expired. Reset it via the provided link.,english,phishing,kaggle_financial_scams_filtered
Your account balance is low. Add funds to continue service.,english,not_scam,kaggle_financial_scams_filtered
"To secure your account, provide the OTP sent to your registered phone.",english,phishing,kaggle_financial_scams_filtered
Payment of 2500 taka received. Thanks for banking with us,english,not_scam,kaggle_financial_scams_filtered
Alert: Unauthorized transaction attempt detected. Change password now.,english,phishing,kaggle_financial_scams_filtered
Your credit card limit has been increased. Check details in app.,english,not_scam,kaggle_financial_scams_filtered
Verify your identity to avoid account suspension. OTP required.,english,phishing,kaggle_financial_scams_filtered
Your request to withdraw 5000 taka was successful.,english,not_scam,kaggle_financial_scams_filtered
Last chance: Provide OTP to claim your prize money now.,english,lottery_scam,kaggle_financial_scams_filtered
Your scheduled payment will be processed tomorrow.,english,not_scam,kaggle_financial_scams_filtered
Alert! Unauthorized login attempt detected. Confirm with OTP immediately.,english,phishing,kaggle_financial_scams_filtered
"Your internet banking password expired, reset it today to avoid service disruption.",english,phishing,kaggle_financial_scams_filtered
Verify your identity by entering the OTP sent to your mobile to continue transactions.,english,phishing,kaggle_financial_scams_filtered
Your debit card ending 1234 has been temporarily blocked for suspicious activity.,english,phishing,kaggle_financial_scams_filtered
"Immediate action needed! Unrecognized device logged in, confirm with OTP now.",english,phishing,kaggle_financial_scams_filtered
Update your mobile number in banking records today for uninterrupted service.,english,phishing,kaggle_financial_scams_filtered
Secure your account now! OTP sent to your registered contact.,english,phishing,kaggle_financial_scams_filtered
Warning: Suspicious activity in your account. Verify using your OTP immediately.,english,phishing,kaggle_financial_scams_filtered
Congratulations! You won a free investment plan. Call now to claim your prize.,english,lottery_scam,kaggle_financial_scams_filtered
New job opportunity with high salary. Send your CV to apply immediately.,english,phishing,kaggle_financial_scams_filtered
Exclusive offer: Double your money in 30 days with our secret scheme.,english,phishing,kaggle_financial_scams_filtered
Join our online trading platform for guaranteed profits.,english,phishing,kaggle_financial_scams_filtered
Beware of strangers asking for your financial details over chat or SMS.,english,not_scam,kaggle_financial_scams_filtered
Your KYC verification is complete. Thank you for your cooperation.,english,not_scam,kaggle_financial_scams_filtered
Congratulations! You are shortlisted for a luxury car giveaway.,english,lottery_scam,kaggle_financial_scams_filtered
Investment opportunity with zero risk and high returns. Contact us.,english,phishing,kaggle_financial_scams_filtered
Monthly subscription paid successfully.,english,not_scam,kaggle_financial_scams_filtered
Avoid fake schemes promising overnight wealth. Stay cautious.,english,not_scam,kaggle_financial_scams_filtered
Free smartphone giveaway for lucky winners. Reply to participate.,english,lottery_scam,kaggle_financial_scams_filtered
Your online order has been shipped successfully.,english,not_scam,kaggle_financial_scams_filtered
Your health insurance claim has been approved. Contact for details.,english,not_scam,kaggle_financial_scams_filtered
Secure your future with our pension plan. Enroll today!,english,phishing,kaggle_financial_scams_filtered
Your package has been shipped. Track your delivery at this link.,english,not_scam,kaggle_financial_scams_filtered
Congratulations! You've won a free gift card. Click now to claim.,english,lottery_scam,kaggle_financial_scams_filtered
Our records show suspicious activity in your account. Contact support.,english,phishing,kaggle_financial_scams_filtered
Your subscription is about to expire. Renew now for uninterrupted service.,english,phishing,kaggle_financial_scams_filtered
Limited-time offer! Double your money in 7 days. Invest now.,english,phishing,kaggle_financial_scams_filtered
Loan approved! Send your details to receive funds today.,english,loan_scam,kaggle_financial_scams_filtered
Your online order is ready. View details here.,english,not_scam,kaggle_financial_scams_filtered
Fake invoice attached. Please review and click the link to pay.,english,phishing,kaggle_financial_scams_filtered
Your car insurance claim has been approved. Contact us to finalize.,english,phishing,kaggle_financial_scams_filtered
It’s your last chance to claim your cashback. Act now!,english,lottery_scam,kaggle_financial_scams_filtered
Attention! Your mobile data plan will expire tomorrow. Renew now.,english,phishing,kaggle_financial_scams_filtered
Your bank account is locked. Verify now to regain access.,english,phishing,kaggle_financial_scams_filtered
Limited-time deal: Buy now and get 50% discount on all products.,english,phishing,kaggle_financial_scams_filtered
Warning! Suspicious activity detected. Change your credentials now.,english,phishing,kaggle_financial_scams_filtered
Your gaming account has been hacked. Change your password immediately.,english,phishing,kaggle_financial_scams_filtered
"Hello from BLOrange club. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.blorange.club.bd",english,phishing,kaggle_financial_scams_filtered
Call FREEPHONE +8800 542 0578 now!,english,phishing,kaggle_financial_scams_filtered
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",english,not_scam,kaggle_financial_scams_filtered
"Loan for any purpose 500 tk- 75,000tk. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free +880 1956669 or text back 'help'",english,loan_scam,kaggle_financial_scams_filtered
Sorry i'm not free...,english,not_scam,kaggle_financial_scams_filtered
How. Its a little difficult but its a simple way to enter this place,english,not_scam,kaggle_financial_scams_filtered
