text,language,category
"Congratulations! You are pre-approved for a personal loan of Rs 5,00,000 with 0% processing fee. Apply now: quickloan-app.in",english,loan_scam
"Instant loan approved without CIBIL check! Get Rs 50,000 in your account in 10 minutes. Download our app and enter your bank details.",english,loan_scam
"Dear customer, your loan application is 90% complete. Pay Rs 1,999 processing fee via UPI to release the amount today.",english,loan_scam
"SIDBI approved: Small business loan of Rs 2 lakh available instantly, no documents needed. Reply YES to proceed.",english,loan_scam
"Your loan of Rs 3,00,000 has been sanctioned. To disburse, pay GST charges of Rs 3,200 to this UPI ID immediately.",english,loan_scam
Gold loan without pledging gold! Get instant cash against your Aadhaar. Call now and share your bank account number.,english,loan_scam
"We are a registered NBFC offering loans at 2% interest. Send your Aadhaar, PAN and a selfie to start processing.",english,loan_scam
Your EMI relief scheme is approved. Pay a one-time Rs 999 activation fee to reduce your loan interest by 50%.,english,loan_scam
"URGENT: Your loan disbursement is on hold due to unpaid insurance premium of Rs 4,500. Pay now to release funds.",english,loan_scam
"Get a loan against your PAN card instantly, no income proof required. WhatsApp your PAN and Aadhaar photo now.",english,loan_scam
"Farmer loan scheme: Rs 1,00,000 KCC loan approved under govt scheme. Pay Rs 1,200 registration fee to your agent today.",english,loan_scam
"Your loan app shows a pending refundable security deposit of Rs 2,500. Transfer now to unlock your approved amount.",english,loan_scam
"Congratulations, you qualify for a collateral-free business loan of Rs 10 lakh. Processing agent will call, keep your OTP ready.",english,loan_scam
This app offers instant personal loans with same-day disbursal. Just install and grant all permissions to verify eligibility.,english,loan_scam
"Your loan EMI has been auto-debited twice by mistake. To claim refund of Rs 3,200, share your account number and OTP.",english,loan_scam
"Loan against mutual funds available in 5 minutes, no paperwork. Click the link and login with your net banking credentials.",english,loan_scam
"Dear applicant, your gold finance loan of Rs 80,000 requires final KYC. Pay Rs 1,500 verification charge to proceed.",english,loan_scam
"We noticed you searched for personal loans. Get pre-approved for Rs 4,00,000 at low interest, just share your salary slip and Aadhaar via WhatsApp.",english,loan_scam
"Loan agent here — your file is ready but requires Rs 2,000 legal documentation fee before we can release the amount.",english,loan_scam
"Special festive offer: Get instant loan up to Rs 5 lakh with zero documentation. Download app, enable screen sharing for verification.",english,loan_scam
"Your informal chit fund payout of Rs 15,000 is ready. Pay Rs 800 as processing charge to your group agent to receive it.",english,loan_scam
Your loan account shows an overdue processing charge. Pay immediately to avoid negative CIBIL score impact within 24 hours.,english,loan_scam
"Approved: Rs 25,000 salary advance loan, no salary slip needed. Share your bank statement screenshot to complete verification.",english,loan_scam
This is your loan officer. Your disbursement failed due to wrong IFSC. Share your correct account number and OTP to resend funds.,english,loan_scam
Get instant loan approval by installing this app and giving contact list access — required to assess your loan eligibility.,english,loan_scam
"Your business loan under Mudra Yojana is sanctioned for Rs 3,00,000. Pay stamp duty of Rs 2,100 to your local agent to collect the cheque.",english,loan_scam
"Dear customer, we could not verify your loan documents. Reply with your Aadhaar OTP to confirm your identity and proceed.",english,loan_scam
"Loan settlement offer: Clear your existing loan for 40% less. Pay Rs 5,000 today to freeze this one-time settlement offer.",english,loan_scam
Your car loan pre-closure amount is ready to be refunded. Provide your account number and card CVV to process the refund.,english,loan_scam
Zero collateral education loan of Rs 8 lakh approved for your child. Pay processing fee to unlock disbursement before admission deadline.,english,loan_scam
"बधाई हो! आपको 5,00,000 रुपये का पर्सनल लोन 0% प्रोसेसिंग फीस पर मंजूर हुआ है। अभी अप्लाई करें।",hindi,loan_scam
"बिना सिबिल चेक के तुरंत लोन मंजूर! 10 मिनट में 50,000 रुपये खाते में। ऐप डाउनलोड करें और बैंक विवरण दें।",hindi,loan_scam
"प्रिय ग्राहक, आपका लोन आवेदन 90% पूरा है। आज राशि जारी करने के लिए यूपीआई से 1,999 रुपये प्रोसेसिंग फीस भरें।",hindi,loan_scam
"सिडबी स्वीकृत: 2 लाख रुपये का व्यापार लोन तुरंत उपलब्ध, कोई दस्तावेज़ नहीं चाहिए। आगे बढ़ने के लिए YES लिखें।",hindi,loan_scam
"आपका 3,00,000 रुपये का लोन स्वीकृत हो गया है। वितरण के लिए इस यूपीआई आईडी पर 3,200 रुपये जीएसटी शुल्क भरें।",hindi,loan_scam
बिना सोना गिरवी रखे गोल्ड लोन! आधार पर तुरंत नकद पाएं। अभी कॉल करें और अपना बैंक खाता नंबर बताएं।,hindi,loan_scam
"हम एक पंजीकृत एनबीएफसी हैं, 2% ब्याज पर लोन देते हैं। प्रोसेसिंग शुरू करने के लिए आधार, पैन और सेल्फी भेजें।",hindi,loan_scam
आपकी ईएमआई राहत योजना मंजूर है। ब्याज 50% कम करने के लिए एक बार 999 रुपये सक्रियण शुल्क भरें।,hindi,loan_scam
"जरूरी: बीमा प्रीमियम के 4,500 रुपये बकाया होने के कारण आपका लोन वितरण रुका है। राशि जारी करने के लिए अभी भुगतान करें।",hindi,loan_scam
"अपने पैन कार्ड पर तुरंत लोन पाएं, आय प्रमाण की जरूरत नहीं। अपना पैन और आधार फोटो व्हाट्सएप करें।",hindi,loan_scam
"किसान लोन योजना: सरकारी योजना के तहत 1,00,000 रुपये का केसीसी लोन मंजूर। आज अपने एजेंट को 1,200 रुपये पंजीकरण शुल्क दें।",hindi,loan_scam
"आपके लोन ऐप में 2,500 रुपये की वापसी योग्य सुरक्षा जमा राशि लंबित है। अपनी स्वीकृत राशि अनलॉक करने के लिए अभी ट्रांसफर करें।",hindi,loan_scam
"बधाई हो, आप 10 लाख रुपये के बिना गिरवी व्यापार लोन के लिए योग्य हैं। एजेंट कॉल करेगा, अपना ओटीपी तैयार रखें।",hindi,loan_scam
यह ऐप तुरंत पर्सनल लोन और उसी दिन वितरण देता है। बस इंस्टॉल करें और पात्रता जांचने के लिए सभी अनुमतियां दें।,hindi,loan_scam
"आपकी लोन ईएमआई गलती से दो बार कट गई है। 3,200 रुपये रिफंड पाने के लिए अपना खाता नंबर और ओटीपी बताएं।",hindi,loan_scam
"म्यूचुअल फंड पर लोन 5 मिनट में उपलब्ध, कोई कागजी काम नहीं। लिंक पर क्लिक करें और नेट बैंकिंग से लॉगिन करें।",hindi,loan_scam
"प्रिय आवेदक, आपके गोल्ड फाइनेंस लोन के लिए अंतिम केवाईसी आवश्यक है। आगे बढ़ने के लिए 1,500 रुपये सत्यापन शुल्क भरें।",hindi,loan_scam
"हमने देखा आपने पर्सनल लोन खोजा। 4,00,000 रुपये कम ब्याज पर पाएं, बस अपनी सैलरी स्लिप और आधार व्हाट्सएप करें।",hindi,loan_scam
"मैं लोन एजेंट बोल रहा हूं — आपकी फाइल तैयार है, राशि जारी करने से पहले 2,000 रुपये दस्तावेज़ शुल्क चाहिए।",hindi,loan_scam
"त्योहार ऑफर: बिना दस्तावेज़ के 5 लाख रुपये तक तुरंत लोन। ऐप डाउनलोड करें, सत्यापन के लिए स्क्रीन शेयरिंग चालू करें।",hindi,loan_scam
"आपके अनौपचारिक चिट फंड का 15,000 रुपये भुगतान तैयार है। पाने के लिए अपने ग्रुप एजेंट को 800 रुपये प्रोसेसिंग शुल्क दें।",hindi,loan_scam
आपके लोन खाते में बकाया प्रोसेसिंग शुल्क दिख रहा है। 24 घंटे में सिबिल स्कोर प्रभावित होने से बचने के लिए तुरंत भुगतान करें।,hindi,loan_scam
"स्वीकृत: 25,000 रुपये का सैलरी एडवांस लोन, सैलरी स्लिप की जरूरत नहीं। सत्यापन के लिए अपना बैंक स्टेटमेंट स्क्रीनशॉट भेजें।",hindi,loan_scam
मैं आपका लोन अधिकारी बोल रहा हूं। गलत आईएफएससी के कारण वितरण असफल हुआ। सही खाता नंबर और ओटीपी बताएं।,hindi,loan_scam
यह ऐप इंस्टॉल करके और कॉन्टैक्ट लिस्ट एक्सेस देकर तुरंत लोन स्वीकृति पाएं — पात्रता जांचने के लिए जरूरी है।,hindi,loan_scam
"मुद्रा योजना के तहत आपका 3,00,000 रुपये का व्यापार लोन स्वीकृत है। चेक लेने के लिए एजेंट को 2,100 रुपये स्टांप शुल्क दें।",hindi,loan_scam
"प्रिय ग्राहक, हम आपके लोन दस्तावेज़ सत्यापित नहीं कर सके। पहचान पुष्टि के लिए आधार ओटीपी के साथ जवाब दें।",hindi,loan_scam
"लोन सेटलमेंट ऑफर: अपना मौजूदा लोन 40% कम में चुकाएं। यह एकमुश्त ऑफर पक्का करने के लिए आज 5,000 रुपये भरें।",hindi,loan_scam
आपकी कार लोन प्री-क्लोजर राशि रिफंड के लिए तैयार है। रिफंड प्रोसेस करने के लिए खाता नंबर और कार्ड सीवीवी दें।,hindi,loan_scam
आपके बच्चे के लिए बिना गिरवी 8 लाख रुपये का शिक्षा लोन स्वीकृत। एडमिशन डेडलाइन से पहले वितरण के लिए प्रोसेसिंग शुल्क भरें।,hindi,loan_scam
"અભિનંદન! તમને 5,00,000 રૂપિયાની પર્સનલ લોન 0% પ્રોસેસિંગ ફી પર મંજૂર થઈ છે. હમણાં જ અરજી કરો.",gujarati,loan_scam
