text,language,category,source
"તમાનો આવકવેરા રિફંડ ₹18,500 મંજૂર થયેલ છે. તમારા બેંક ખાતાની ચકાસણી કરવા માટે અહીં ક્લિક કરો: [લિંક]",gujarati,phishing,huggingface_adaption_extracted
"Badhav! Tumcho mobile number lucky draw-ant nivddla. ₹50,000 jeunk tumche bank account-acho vivran ani Aadhaar number hea numberar WhatsApp korat.",english,lottery_scam,huggingface_adaption_extracted
"તરીકે ₹3,200 કાપી લીધા જે સીધા ઉપરથી કપાઈ ગયા. હવે તેઓ મારી પાસેથી અઠવાડિયે ₹1,200 ચૂકવણીની માંગણી કરે છે અને મોડું થવા પર",gujarati,loan_scam,huggingface_adaption_extracted
"Congratulations! Your mobile number has been selected in a lucky draw. To win ₹50,000, WhatsApp your bank account details and Aadhaar number to this number.",english,lottery_scam,huggingface_adaption_extracted
"Assessment Year 2024-25 mein aapka ₹60,000 ka refund approve hua hai, aaj hi verify karein.",english,phishing,huggingface_adaption_extracted
"Your refund of ₹60,000 for Assessment Year 2024-25 has been approved; verify it today.",english,phishing,huggingface_adaption_extracted
"Congratulations! Aapka mobile number lucky draw mein select hua. ₹50,000 jeetne ke liye bank account details aur Aadhaar number is number pe WhatsApp karein.",english,lottery_scam,huggingface_adaption_extracted
"નાણાકીય વર્ષ 2024-25 માં તમારું ₹60,000 નું રિફંડ મંજૂર થયું છે, આજે જ ચકાસણી કરો.",gujarati,phishing,huggingface_adaption_extracted
"Your Income Tax refund of ₹18,500 is approved. Click here to verify your bank account: [link]",english,phishing,huggingface_adaption_extracted
"Assessment Year 2024-25 hatunt tumkam ₹60,000 cho refund manzuri zala, ajuch verify korat.",english,phishing,huggingface_adaption_extracted
સ્મોલ ઇન્ડસ્ટ્રીઝ ડેવલપમેન્ટ બેંક ઓફ ઇન્ડિયા (SIDBI),gujarati,loan_scam,huggingface_adaption_extracted
"અભિનંદન! તમારો મોબાઈલ નંબર લકી ડ્રોમાં પસંદ થયો છે. ₹50,000 જીતવા માટે બેંક ખાતાની વિગતો અને આધાર નંબર આ નંબર પર WhatsApp કરો.",gujarati,lottery_scam,huggingface_adaption_extracted
