text,language,category,source
Your bank account may be frozen during the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Your bank account may be frozen during the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Your bank account may be frozen during the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Your mobile number has come up in a cyber fraud investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Your mobile number has come up in a cyber fraud investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Your mobile number has come up in a cyber fraud investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Your number has been identified in a telecom fraud case.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Your number has been identified in a telecom fraud case.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Your number has been identified in a telecom fraud case.,english,impersonation_digital_arrest,huggingface_hinglish_translated
A fake SIM has been issued using your Aadhaar card.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. A fake SIM has been issued using your Aadhaar card.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. A fake SIM has been issued using your Aadhaar card.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Financial fraud has been committed by misusing your documents.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Financial fraud has been committed by misusing your documents.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Financial fraud has been committed by misusing your documents.,english,impersonation_digital_arrest,huggingface_hinglish_translated
A digital fraud complaint has been received against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. A digital fraud complaint has been received against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. A digital fraud complaint has been received against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Legal action has been initiated against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Legal action has been initiated against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Legal action has been initiated against you.,english,impersonation_digital_arrest,huggingface_hinglish_translated
A criminal complaint has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. A criminal complaint has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. A criminal complaint has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
A money laundering case has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. A money laundering case has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. A money laundering case has been registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
A misuse report has been filed for a SIM registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. A misuse report has been filed for a SIM registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. A misuse report has been filed for a SIM registered in your name.,english,impersonation_digital_arrest,huggingface_hinglish_translated
An account registered in your name has been used in illegal activities.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. An account registered in your name has been used in illegal activities.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. An account registered in your name has been used in illegal activities.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Objectionable content has been circulated from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Objectionable content has been circulated from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Objectionable content has been circulated from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
You need to speak with the investigating officer immediately.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. You need to speak with the investigating officer immediately.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. You need to speak with the investigating officer immediately.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Suspicious transactions have occurred from your account.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Suspicious transactions have occurred from your account.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Suspicious transactions have occurred from your account.,english,impersonation_digital_arrest,huggingface_hinglish_translated
The cyber investigation team has found suspicious activity from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. The cyber investigation team has found suspicious activity from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. The cyber investigation team has found suspicious activity from your number.,english,impersonation_digital_arrest,huggingface_hinglish_translated
Your identity needs to be verified for the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
I am calling from Delhi Police. Your identity needs to be verified for the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
This is the Cyber Crime Department. Your identity needs to be verified for the investigation.,english,impersonation_digital_arrest,huggingface_hinglish_translated
