text,language,category,source
जांच के दौरान आपका बैंक खाता फ्रीज किया जा सकता है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। जांच के दौरान आपका बैंक खाता फ्रीज किया जा सकता है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। जांच के दौरान आपका बैंक खाता फ्रीज किया जा सकता है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपका मोबाइल नंबर साइबर फ्रॉड जांच में आया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपका मोबाइल नंबर साइबर फ्रॉड जांच में आया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपका मोबाइल नंबर साइबर फ्रॉड जांच में आया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपका नंबर टेलीकॉम फ्रॉड केस में पहचाना गया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपका नंबर टेलीकॉम फ्रॉड केस में पहचाना गया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपका नंबर टेलीकॉम फ्रॉड केस में पहचाना गया है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके आधार कार्ड का इस्तेमाल करके फर्जी सिम जारी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके आधार कार्ड का इस्तेमाल करके फर्जी सिम जारी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके आधार कार्ड का इस्तेमाल करके फर्जी सिम जारी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके दस्तावेज़ों का दुरुपयोग करके वित्तीय धोखाधड़ी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके दस्तावेज़ों का दुरुपयोग करके वित्तीय धोखाधड़ी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके दस्तावेज़ों का दुरुपयोग करके वित्तीय धोखाधड़ी की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके खिलाफ डिजिटल फ्रॉड की शिकायत मिली है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके खिलाफ डिजिटल फ्रॉड की शिकायत मिली है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके खिलाफ डिजिटल फ्रॉड की शिकायत मिली है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके खिलाफ कानूनी कार्रवाई शुरू की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके खिलाफ कानूनी कार्रवाई शुरू की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके खिलाफ कानूनी कार्रवाई शुरू की गई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके नाम पर एक आपराधिक शिकायत दर्ज हुई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके नाम पर एक आपराधिक शिकायत दर्ज हुई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके नाम पर एक आपराधिक शिकायत दर्ज हुई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके नाम पर मनी लॉन्ड्रिंग का केस दर्ज हुआ है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं दिल्ली पुलिस से बोल रहा हूं। आपके नाम पर मनी लॉन्ड्रिंग का केस दर्ज हुआ है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
मैं साइबर क्राइम डिपार्टमेंट से बोल रहा हूं। आपके नाम पर मनी लॉन्ड्रिंग का केस दर्ज हुआ है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
आपके नाम पर रजिस्टर्ड सिम के दुरुपयोग की रिपोर्ट हुई है।,hindi,impersonation_digital_arrest,huggingface_hinglish_transliterated
