text,language,category,source
"Dear customer, your KYC has expired. Update immediately at bit.ly/kyc-update123 or account will be blocked in 24 hours.",english,kyc_scam,claude_synthetic
URGENT: Your bank account will be suspended today. Click here to complete KYC verification: kyc-verify.net/update,english,kyc_scam,claude_synthetic
Your Aadhaar-linked KYC is pending. Complete now to avoid deactivation: click http://kyc-bank-portal.com,english,kyc_scam,claude_synthetic
Alert: Incomplete KYC detected on your account. Verify within 2 hours or lose access. Link: verify-now.co/kyc,english,kyc_scam,claude_synthetic
Bank Notice: KYC document mismatch found. Re-upload PAN and Aadhaar at this link to keep your account active.,english,kyc_scam,claude_synthetic
Your SBI account KYC is not updated. Failure to update in 6 hrs will lead to account freeze. Update: sbi-kyc-online.in,english,kyc_scam,claude_synthetic
"Congratulations, your KYC is 90% complete. Enter your card number and OTP to finish verification and unlock full access.",english,kyc_scam,claude_synthetic
RBI mandate: All bank accounts must complete e-KYC by tomorrow. Tap the link and enter your debit card PIN to confirm.,english,kyc_scam,claude_synthetic
Your mobile banking will stop working from tomorrow due to pending KYC. Call this number and share your OTP to fix it now.,english,kyc_scam,claude_synthetic
Final Reminder: KYC not updated. Your account number ending 4521 will be permanently blocked unless verified today.,english,kyc_scam,claude_synthetic
"This is Rakesh from your bank's KYC department. Sir your video KYC failed, please share the OTP sent to your phone to redo it.",english,kyc_scam,claude_synthetic
IMPORTANT: Your PAN card is not linked to your bank KYC. Link now within 12 hours: pan-kyc-link.com/verify,english,kyc_scam,claude_synthetic
"Sir/Madam, our records show your KYC as invalid. Kindly download AnyDesk app and let our executive assist you with re-verification.",english,kyc_scam,claude_synthetic
Your bank account is under review due to expired KYC. Send a scanned copy of your Aadhaar and OTP to this WhatsApp number to resolve.,english,kyc_scam,claude_synthetic
Notice from Bank Compliance Team: KYC re-verification pending since 3 months. Non-compliance may lead to account closure per RBI rules.,english,kyc_scam,claude_synthetic
"Dear valued customer, we noticed your e-KYC is outdated. Complete biometric verification today at the link to avoid service disruption.",english,kyc_scam,claude_synthetic
Your account KYC status: FAILED. Please call our helpline immediately and provide your debit card details to reactivate.,english,kyc_scam,claude_synthetic
Kotak/HDFC/ICICI Alert: Your KYC form submitted has errors. Click to resubmit with your net banking password for quick approval.,english,kyc_scam,claude_synthetic
We tried to update your KYC but your OTP verification failed twice. One more attempt and account gets locked — verify here now.,english,kyc_scam,claude_synthetic
Government of India KYC Compliance: All account holders must re-verify by month end. Non-verified accounts will be frozen as per new policy.,english,kyc_scam,claude_synthetic
Your Post Office savings account KYC needs urgent update. Share your account number and registered mobile OTP to our agent to proceed.,english,kyc_scam,claude_synthetic
eKYC pending: Complete your video call verification today between 10am-6pm by clicking the appointment link and sharing your card CVV.,english,kyc_scam,claude_synthetic
Your bank has flagged your account for KYC non-compliance. A fine of Rs 500/day applies from tomorrow unless resolved via this portal.,english,kyc_scam,claude_synthetic
"Dear customer, due to a system update, all customers must re-enter KYC details including ATM PIN at our secure portal within 24 hrs.",english,kyc_scam,claude_synthetic
This is a reminder that your KYC document (uploaded 2019) has expired as per new RBI norms. Renew today to avoid account suspension.,english,kyc_scam,claude_synthetic
Your linked mobile number needs KYC re-verification for UPI services. Click the link and confirm your UPI PIN to continue using GPay/PhonePe.,english,kyc_scam,claude_synthetic
"Bank Security Alert: unusual login detected. To secure your account, complete KYC re-authentication by sharing the OTP you just received.",english,kyc_scam,claude_synthetic
"आपका डेबिट कार्ड will be blocked without KYC update. Please visit the link and enter your card number, expiry and CVV to avoid blockage.",english,kyc_scam,claude_synthetic
"Dear Sir, your Jan Dhan account KYC is incomplete. Government subsidy will stop unless updated. Reply with your Aadhaar number now.",english,kyc_scam,claude_synthetic
Your bank locker KYC also needs renewal along with account KYC. Complete both together at this link using your net banking login.,english,kyc_scam,claude_synthetic
"प्रिय ग्राहक, आपका केवाईसी समाप्त हो गया है। तुरंत अपडेट करें अन्यथा 24 घंटे में खाता ब्लॉक हो जाएगा।",hindi,kyc_scam,claude_synthetic
जरूरी सूचना: आपका बैंक खाता आज बंद हो जाएगा। केवाईसी पूरा करने के लिए इस लिंक पर क्लिक करें।,hindi,kyc_scam,claude_synthetic
आपका आधार से जुड़ा केवाईसी लंबित है। खाता निष्क्रिय होने से बचने के लिए अभी पूरा करें।,hindi,kyc_scam,claude_synthetic
चेतावनी: आपके खाते में अधूरा केवाईसी पाया गया। 2 घंटे में सत्यापित करें अन्यथा पहुंच खो देंगे।,hindi,kyc_scam,claude_synthetic
बैंक सूचना: केवाईसी दस्तावेज़ मेल नहीं खाते। खाता सक्रिय रखने के लिए पैन और आधार फिर से अपलोड करें।,hindi,kyc_scam,claude_synthetic
आपके खाते का केवाईसी अपडेट नहीं है। 6 घंटे में अपडेट न करने पर खाता फ्रीज हो जाएगा।,hindi,kyc_scam,claude_synthetic
आपका केवाईसी 90% पूरा है। सत्यापन पूरा करने के लिए अपना कार्ड नंबर और ओटीपी दर्ज करें।,hindi,kyc_scam,claude_synthetic
आरबीआई निर्देश: सभी बैंक खातों का ई-केवाईसी कल तक पूरा होना चाहिए। लिंक पर टैप करें और अपना डेबिट कार्ड पिन दर्ज करें।,hindi,kyc_scam,claude_synthetic
केवाईसी लंबित होने के कारण कल से मोबाइल बैंकिंग बंद हो जाएगी। इस नंबर पर कॉल करें और ओटीपी साझा करें।,hindi,kyc_scam,claude_synthetic
अंतिम चेतावनी: केवाईसी अपडेट नहीं हुआ। आज सत्यापित न करने पर आपका खाता स्थायी रूप से ब्लॉक हो जाएगा।,hindi,kyc_scam,claude_synthetic
"मैं आपके बैंक के केवाईसी विभाग से राकेश बोल रहा हूं। सर आपका वीडियो केवाईसी फेल हो गया, कृपया फोन पर आया ओटीपी बताएं।",hindi,kyc_scam,claude_synthetic
महत्वपूर्ण: आपका पैन कार्ड बैंक केवाईसी से लिंक नहीं है। 12 घंटे के अंदर लिंक करें: pan-kyc-link.com,hindi,kyc_scam,claude_synthetic
"श्रीमान/श्रीमती, हमारे रिकॉर्ड में आपका केवाईसी अमान्य दिख रहा है। कृपया AnyDesk ऐप डाउनलोड करें, हमारा एजेंट मदद करेगा।",hindi,kyc_scam,claude_synthetic
एक्सपायर्ड केवाईसी के कारण आपका खाता समीक्षा में है। आधार की स्कैन कॉपी और ओटीपी इस व्हाट्सएप नंबर पर भेजें।,hindi,kyc_scam,claude_synthetic
बैंक अनुपालन टीम की सूचना: केवाईसी पुनर्सत्यापन 3 महीने से लंबित है। आरबीआई नियमों के अनुसार खाता बंद हो सकता है।,hindi,kyc_scam,claude_synthetic
"प्रिय ग्राहक, आपका ई-केवाईसी पुराना हो गया है। सेवा बाधित होने से बचने के लिए आज ही बायोमेट्रिक सत्यापन पूरा करें।",hindi,kyc_scam,claude_synthetic
आपके खाते की केवाईसी स्थिति: असफल। कृपया तुरंत हमारी हेल्पलाइन पर कॉल करें और अपने डेबिट कार्ड की जानकारी दें।,hindi,kyc_scam,claude_synthetic
अलर्ट: आपके जमा किए केवाईसी फॉर्म में त्रुटियां हैं। जल्दी अनुमोदन के लिए अपना नेट बैंकिंग पासवर्ड देकर पुनः जमा करें।,hindi,kyc_scam,claude_synthetic
"हमने आपका केवाईसी अपडेट करने की कोशिश की लेकिन ओटीपी सत्यापन दो बार असफल रहा। एक और मौका है, अभी सत्यापित करें।",hindi,kyc_scam,claude_synthetic
भारत सरकार केवाईसी अनुपालन: सभी खाताधारकों को महीने के अंत तक पुनः सत्यापन करना होगा। नई नीति के अनुसार असत्यापित खाते फ्रीज होंगे।,hindi,kyc_scam,claude_synthetic
आपके डाकघर बचत खाते के केवाईसी को तुरंत अपडेट करने की आवश्यकता है। अपना खाता नंबर और पंजीकृत मोबाइल ओटीपी हमारे एजेंट को बताएं।,hindi,kyc_scam,claude_synthetic
"ई-केवाईसी लंबित: आज सुबह 10 से शाम 6 बजे के बीच वीडियो कॉल सत्यापन पूरा करें, अपॉइंटमेंट लिंक पर क्लिक करके अपना कार्ड सीवीवी बताएं।",hindi,kyc_scam,claude_synthetic
आपके बैंक ने केवाईसी अनुपालन न करने पर आपके खाते को चिन्हित किया है। कल से प्रतिदिन 500 रुपये जुर्माना लगेगा जब तक इस पोर्टल से हल न हो।,hindi,kyc_scam,claude_synthetic
"प्रिय ग्राहक, सिस्टम अपडेट के कारण सभी ग्राहकों को हमारे सुरक्षित पोर्टल पर एटीएम पिन सहित केवाईसी विवरण 24 घंटे में फिर से दर्ज करना होगा।",hindi,kyc_scam,claude_synthetic
यह एक अनुस्मारक है कि आपका केवाईसी दस्तावेज़ (2019 में अपलोड किया गया) नए आरबीआई मानदंडों के अनुसार समाप्त हो गया है। आज ही नवीनीकृत करें।,hindi,kyc_scam,claude_synthetic
यूपीआई सेवाओं के लिए आपके लिंक किए गए मोबाइल नंबर को केवाईसी पुनः सत्यापन की आवश्यकता है। लिंक पर क्लिक करें और अपना यूपीआई पिन बताएं।,hindi,kyc_scam,claude_synthetic
"बैंक सुरक्षा अलर्ट: असामान्य लॉगिन का पता चला। अपने खाते को सुरक्षित करने के लिए, अभी प्राप्त ओटीपी साझा करके केवाईसी पुनः प्रमाणीकरण पूरा करें।",hindi,kyc_scam,claude_synthetic
"आपका डेबिट कार्ड केवाईसी अपडेट के बिना ब्लॉक हो जाएगा। कृपया लिंक पर जाएं और अपना कार्ड नंबर, समाप्ति तिथि और सीवीवी दर्ज करें।",hindi,kyc_scam,claude_synthetic
"श्रीमान, आपके जन धन खाते का केवाईसी अधूरा है। अपडेट न होने पर सरकारी सब्सिडी बंद हो जाएगी। अभी अपना आधार नंबर भेजें।",hindi,kyc_scam,claude_synthetic
आपके बैंक लॉकर के केवाईसी को भी खाता केवाईसी के साथ नवीनीकृत करने की आवश्यकता है। इस लिंक पर अपने नेट बैंकिंग लॉगिन से दोनों पूरा करें।,hindi,kyc_scam,claude_synthetic
"પ્રિય ગ્રાહક, તમારું કેવાયસી સમાપ્ત થઈ ગયું છે. તાત્કાલિક અપડેટ કરો નહીં તો 24 કલાકમાં ખાતું બ્લોક થઈ જશે.",gujarati,kyc_scam,claude_synthetic
તાત્કાલિક સૂચના: તમારું બેંક ખાતું આજે બંધ થઈ જશે. કેવાયસી પૂર્ણ કરવા માટે આ લિંક પર ક્લિક કરો.,gujarati,kyc_scam,claude_synthetic
તમારું આધાર સાથે જોડાયેલ કેવાયસી બાકી છે. ખાતું નિષ્ક્રિય થતું અટકાવવા હમણાં જ પૂર્ણ કરો.,gujarati,kyc_scam,claude_synthetic
