text,language,category
"You have received a payment request of Rs 2,000 from Rahul. Accept to receive money in your account.",english,upi_scam
Refund of Rs 499 pending. Tap Accept on the collect request in your UPI app to receive it instantly.,english,upi_scam
Your cashback of Rs 150 is ready. Approve the payment request notification to claim it now.,english,upi_scam
"Scan this QR code to receive Rs 5,000 as a gift from your relative. Do not share your UPI PIN with anyone else.",english,upi_scam
"Payment failed, retry by entering your UPI PIN on this link to complete the refund process.",english,upi_scam
"Congratulations! Someone sent you Rs 10,000 via UPI. Enter your PIN in the app to accept the transfer.",english,upi_scam
Your electricity refund of Rs 850 is stuck. Accept the collect request sent to your registered UPI ID.,english,upi_scam
"I am the buyer for your OLX listing, I've sent advance payment. Please accept the request to confirm.",english,upi_scam
"Your GPay account shows Rs 3,200 pending refund. Click the link and scan the QR to release the amount.",english,upi_scam
"Hi, I accidentally sent money to your account, please scan this QR code to refund it back to me.",english,upi_scam
Your PhonePe KYC is linked to a pending Rs 999 cashback. Enter your UPI PIN to complete the claim.,english,upi_scam
"Delivery agent here — for COD refund of Rs 350, please accept the payment request I just sent.",english,upi_scam
"Your Paytm wallet has an unclaimed balance of Rs 1,200. Approve the request notification to transfer it to your bank.",english,upi_scam
"Sir maine aapko paisa bhej diya hai, request accept kar dijiye taaki transaction complete ho jaye.",english,upi_scam
Your bank has issued a refund via UPI for the failed transaction. Enter PIN on the collect request to receive Rs 700.,english,upi_scam
"This is your relative, I sent money by mistake to a wrong UPI ID, please scan and refund immediately.",english,upi_scam
"Your UPI ID has won a lucky transaction bonus of Rs 2,500. Accept the request to claim your reward.",english,upi_scam
"Buyer interested in your Facebook Marketplace item, sending token amount now, please accept to confirm the sale.",english,upi_scam
"Your bank UPI limit has increased. To activate, enter your UPI PIN when prompted by the SMS link.",english,upi_scam
"I am your college senior, please accept this Rs 500 collect request, I'll explain later, urgent.",english,upi_scam
Your cab fare refund of Rs 120 is pending due to app error. Scan the QR to receive it in your wallet.,english,upi_scam
"Congratulations, your UPI transaction qualifies for a reward. Enter your UPI PIN to unlock Rs 999 instantly.",english,upi_scam
"Sir aapka parcel COD hai, refund ke liye maine request bheji hai, accept kar dijiye.",english,upi_scam
Your bank has flagged a pending UPI mandate for auto-refund. Approve now to avoid transaction reversal charges.,english,upi_scam
"I found your lost wallet, sending back the cash via UPI, please scan the QR code I'm sharing to receive it.",english,upi_scam
Your electricity board owes you a rebate. Tap the collect request link to receive Rs 640 in your account.,english,upi_scam
"This is customer support, your last UPI transaction failed, please share your UPI PIN to process the reversal.",english,upi_scam
"Your friend requested Rs 1,000 via UPI for an emergency. Please accept quickly, they said it's urgent.",english,upi_scam
"Get instant loan disbursed to your UPI ID, just scan this QR and enter your PIN to activate.",english,upi_scam
Your recharge failed but amount was deducted. Accept the refund request on your UPI app to get it back.,english,upi_scam
"आपको राहुल से 2,000 रुपये का पेमेंट रिक्वेस्ट मिला है। पैसे पाने के लिए एक्सेप्ट करें।",hindi,upi_scam
499 रुपये का रिफंड लंबित है। तुरंत पाने के लिए अपने यूपीआई ऐप में कलेक्ट रिक्वेस्ट पर एक्सेप्ट टैप करें।,hindi,upi_scam
आपका 150 रुपये कैशबैक तैयार है। अभी दावा करने के लिए पेमेंट रिक्वेस्ट नोटिफिकेशन अप्रूव करें।,hindi,upi_scam
"अपने रिश्तेदार से 5,000 रुपये का गिफ्ट पाने के लिए यह क्यूआर कोड स्कैन करें। किसी को भी यूपीआई पिन न बताएं।",hindi,upi_scam
"भुगतान असफल रहा, रिफंड प्रोसेस पूरा करने के लिए इस लिंक पर अपना यूपीआई पिन दर्ज करके फिर कोशिश करें।",hindi,upi_scam
"बधाई हो! किसी ने आपको यूपीआई से 10,000 रुपये भेजे हैं। ट्रांसफर स्वीकार करने के लिए ऐप में अपना पिन दर्ज करें।",hindi,upi_scam
आपका बिजली रिफंड 850 रुपये अटका हुआ है। अपने रजिस्टर्ड यूपीआई आईडी पर भेजी गई कलेक्ट रिक्वेस्ट एक्सेप्ट करें।,hindi,upi_scam
"मैं आपकी ओएलएक्स लिस्टिंग का खरीदार हूं, एडवांस पेमेंट भेज दिया है। पुष्टि के लिए रिक्वेस्ट एक्सेप्ट करें।",hindi,upi_scam
"आपके जीपे खाते में 3,200 रुपये का रिफंड लंबित दिख रहा है। राशि पाने के लिए लिंक पर क्लिक करें और क्यूआर स्कैन करें।",hindi,upi_scam
"नमस्ते, गलती से मैंने आपके खाते में पैसे भेज दिए, कृपया वापस भेजने के लिए यह क्यूआर कोड स्कैन करें।",hindi,upi_scam
आपका फोनपे केवाईसी 999 रुपये के लंबित कैशबैक से जुड़ा है। दावा पूरा करने के लिए अपना यूपीआई पिन दर्ज करें।,hindi,upi_scam
"डिलीवरी एजेंट बोल रहा हूं — 350 रुपये सीओडी रिफंड के लिए, मैंने भेजी पेमेंट रिक्वेस्ट एक्सेप्ट करें।",hindi,upi_scam
"आपके पेटीएम वॉलेट में 1,200 रुपये का अनक्लेम्ड बैलेंस है। बैंक में ट्रांसफर करने के लिए रिक्वेस्ट नोटिफिकेशन अप्रूव करें।",hindi,upi_scam
"सर मैंने आपको पैसा भेज दिया है, ट्रांजैक्शन पूरा करने के लिए रिक्वेस्ट एक्सेप्ट कर दीजिए।",hindi,upi_scam
असफल ट्रांजैक्शन के लिए आपके बैंक ने यूपीआई से रिफंड जारी किया है। 700 रुपये पाने के लिए कलेक्ट रिक्वेस्ट पर पिन डालें।,hindi,upi_scam
"यह आपका रिश्तेदार है, गलती से गलत यूपीआई आईडी पर पैसे भेज दिए, कृपया स्कैन करके तुरंत वापस भेजें।",hindi,upi_scam
"आपकी यूपीआई आईडी ने लकी ट्रांजैक्शन बोनस 2,500 रुपये जीता है। इनाम दावा करने के लिए रिक्वेस्ट एक्सेप्ट करें।",hindi,upi_scam
"आपके फेसबुक मार्केटप्लेस आइटम में खरीदार दिलचस्पी रखता है, टोकन राशि भेज रहा हूं, बिक्री पक्की करने के लिए एक्सेप्ट करें।",hindi,upi_scam
आपकी यूपीआई सीमा बढ़ा दी गई है। सक्रिय करने के लिए एसएमएस लिंक पर पूछे जाने पर अपना यूपीआई पिन दर्ज करें।,hindi,upi_scam
"मैं आपका कॉलेज सीनियर हूं, कृपया यह 500 रुपये की कलेक्ट रिक्वेस्ट एक्सेप्ट करें, बाद में बताऊंगा, अर्जेंट है।",hindi,upi_scam
